,Wavelength,Sum,B I (2.9e-01),B II (7.1e-01),B III (9.5e-07)
424,227.22,3.494e-07,0,3.494e-07,0
425,227.27,7.562e-08,0,7.562e-08,0
426,227.32,1.484e-08,0,1.484e-08,0
427,227.37,2.6429999999999997e-09,0,2.6429999999999997e-09,0
428,227.42,4.269e-10,0,4.269e-10,0
429,227.47,6.255e-11,0,6.255e-11,0
430,227.52,8.314e-12,0,8.314e-12,0
431,227.57,1.002e-12,0,1.002e-12,0
432,227.62,1.096e-13,0,1.096e-13,0
433,227.67,1.087e-14,0,1.087e-14,0
434,227.72,9.786e-16,0,9.786e-16,0
435,227.77,7.987999999999999e-17,0,7.987999999999999e-17,0
436,227.82,5.9150000000000005e-18,0,5.9150000000000005e-18,0
437,230.92,7.73e-18,0,7.73e-18,0
438,230.97,9.52e-17,0,9.52e-17,0
439,231.02,1.069e-15,0,1.069e-15,0
440,231.07,1.094e-14,0,1.094e-14,0
441,231.12,1.02e-13,0,1.02e-13,0
442,231.17,8.672e-13,0,8.672e-13,0
443,231.22,6.721e-12,0,6.721e-12,0
444,231.27,4.746999999999999e-11,0,4.746999999999999e-11,0
445,231.32,3.057e-10,0,3.057e-10,0
446,231.37,1.794e-09,0,1.794e-09,0
447,231.42,9.597e-09,0,9.597e-09,0
448,231.47,4.6799999999999996e-08,0,4.6799999999999996e-08,0
449,231.52,2.08e-07,0,2.08e-07,0
450,231.58,1.102e-06,0,1.102e-06,0
451,231.63,3.996e-06,0,3.996e-06,0
452,231.68,1.321e-05,0,1.321e-05,0
453,231.73,3.977e-05,0,3.977e-05,0
454,231.78,0.00010920000000000001,0,0.00010920000000000001,0
455,231.83,0.00027319999999999997,0,0.00027319999999999997,0
456,231.88,0.0006232999999999999,0,0.0006232999999999999,0
457,231.93,0.001296,0,0.001296,0
458,231.98,0.002456,0,0.002456,0
459,232.03,0.004243,0,0.004243,0
460,232.08,0.006682,0,0.006682,0
461,232.13,0.009595000000000001,0,0.009595000000000001,0
462,232.18,0.01257,0,0.01257,0
463,232.23,0.01505,0,0.01505,0
464,232.28,0.01655,0,0.01655,0
465,232.33,0.016919999999999998,0,0.016919999999999998,0
466,232.38,0.01665,0,0.01665,0
467,232.43,0.01693,0,0.01693,0
468,232.48,0.01964,0,0.01964,0
469,232.53,0.02702,0,0.02702,0
470,232.58,0.04115,0,0.04115,0
471,232.63,0.06301,0,0.06301,0
472,232.68,0.09157,0,0.09157,0
473,232.73,0.1231,0,0.1231,0
474,232.78,0.1518,0,0.1518,0
475,232.83,0.171,0,0.171,0
476,232.88,0.1757,0,0.1757,0
477,232.93,0.1647,0,0.1647,0
478,232.98,0.1408,0,0.1408,0
479,233.03,0.1098,0,0.1098,0
480,233.08,0.07803,0,0.07803,0
481,233.13,0.050589999999999996,0,0.050589999999999996,0
482,233.18,0.029910000000000003,0,0.029910000000000003,0
483,233.23,0.016130000000000002,0,0.016130000000000002,0
484,233.28,0.007928,0,0.007928,0
485,233.33,0.0035549999999999996,0,0.0035549999999999996,0
486,233.38,0.0014529999999999999,0,0.0014529999999999999,0
487,233.43,0.0005417999999999999,0,0.0005417999999999999,0
488,233.48,0.00018419999999999998,0,0.00018419999999999998,0
489,233.53,5.712e-05,0,5.712e-05,0
490,233.58,1.615e-05,0,1.615e-05,0
491,233.63,4.1639999999999994e-06,0,4.1639999999999994e-06,0
492,233.68,9.790999999999999e-07,0,9.790999999999999e-07,0
493,233.73,2.099e-07,0,2.099e-07,0
494,233.78,4.105000000000001e-08,0,4.105000000000001e-08,0
495,233.83,7.319e-09,0,7.319e-09,0
496,233.88,1.19e-09,0,1.19e-09,0
497,233.93,1.764e-10,0,1.764e-10,0
498,233.98,2.3860000000000002e-11,0,2.3860000000000002e-11,0
499,234.03,2.9419999999999998e-12,0,2.9419999999999998e-12,0
500,234.08,3.308e-13,0,3.308e-13,0
501,234.13,3.3919999999999996e-14,0,3.3919999999999996e-14,0
502,234.18,3.172e-15,0,3.172e-15,0
503,234.23,2.705e-16,0,2.705e-16,0
504,234.28,2.103e-17,0,2.103e-17,0
505,237.43,1.177e-14,1.177e-14,0,0
506,237.48,1.416e-13,1.416e-13,0,0
507,237.53,1.5590000000000001e-12,1.5590000000000001e-12,0,0
508,237.58,1.5740000000000002e-11,1.5740000000000002e-11,0,0
509,237.63,1.456e-10,1.456e-10,0,0
510,237.68,1.233e-09,1.233e-09,0,0
511,237.73,9.578e-09,9.578e-09,0,0
512,237.78,6.814e-08,6.814e-08,0,0
513,237.83,4.443e-07,4.443e-07,0,0
514,237.88,2.654e-06,2.654e-06,1.69e-17,0
515,237.93,1.453e-05,1.453e-05,1.999e-16,0
516,237.98,7.286e-05,7.286e-05,2.1670000000000003e-15,0
517,238.03,0.00033489999999999995,0.00033489999999999995,2.153e-14,0
518,238.08,0.00141,0.00141,1.993e-13,0
519,238.13,0.005442,0.005442,1.673e-12,0
520,238.18,0.01924,0.01924,1.289e-11,0
521,238.23,0.06235,0.06235,9.133000000000001e-11,0
522,238.28,0.1851,0.1851,5.952000000000001e-10,0
523,238.33,0.5037,0.5037,3.572e-09,0
524,238.38,1.256,1.256,1.9780000000000002e-08,0
525,238.43,2.8689999999999998,2.8689999999999998,1.0119999999999999e-07,0
526,238.48,6.005,6.005,4.8e-07,0
527,238.53,11.52,11.52,2.115e-06,0
528,238.58,20.25,20.25,8.68e-06,0
529,238.63,32.62,32.62,3.328e-05,0
530,238.68,48.15,48.15,0.0001196,0
531,238.73,65.13,65.13,0.0004029,0
532,238.78,80.73,80.73,0.001275,0
533,238.83,91.7,91.7,0.0037869999999999996,0
534,238.88,95.45,95.44,0.01054,0
535,238.93,91.06,91.03,0.02744,0
536,238.98,79.63,79.57,0.06659,0
537,239.03,63.88,63.73,0.1503,0
538,239.08,47.09,46.78,0.3144,0
539,239.13,32.07,31.46,0.6084,0
540,239.18,20.48,19.39,1.087,0
541,239.23,12.74,10.95,1.7890000000000001,0
542,239.28,8.38,5.67,2.71,0
543,239.33,6.4639999999999995,2.6889999999999996,3.7739999999999996,0
544,239.38,5.997999999999999,1.169,4.829,0
545,239.43,6.138,0.4656,5.672000000000001,0
546,239.48,6.284,0.1699,6.114,0
547,239.53,6.102,0.05685,6.045,0
548,239.58,5.5,0.01743,5.483,0
549,239.63,4.564,0.004895,4.559,0
