,Wavelength,Sum,Na I (2.7e-02),Na II (9.7e-01),Na III (9.7e-16)
3686,412.08,0.022359999999999998,0.022359999999999998,1.001e-10,0
3687,412.13,0.03961,0.03961,1.0879999999999999e-10,0
3688,412.18,0.06813,0.06813,1.165e-10,0
3689,412.23,0.1138,0.1138,1.224e-10,0
3690,412.28,0.1847,0.1847,1.254e-10,0
3691,412.33,0.2911,0.2911,1.253e-10,0
3692,412.38,0.4456,0.4456,1.217e-10,0
3693,412.43,0.6628,0.6628,1.149e-10,0
3694,412.48,0.9578,0.9578,1.054e-10,0
3695,412.53,1.345,1.345,9.395000000000001e-11,0
3696,412.58,1.8359999999999999,1.8359999999999999,8.131999999999998e-11,0
3697,412.63,2.436,2.436,6.836e-11,0
3698,412.68,3.1439999999999997,3.1439999999999997,5.58e-11,0
3699,412.73,3.949,3.949,4.422e-11,0
3700,412.78,4.83,4.83,3.404e-11,0
3701,412.83,5.7589999999999995,5.7589999999999995,2.544e-11,0
3702,412.88,6.7,6.7,1.846e-11,0
3703,412.93,7.617999999999999,7.617999999999999,1.301e-11,0
3704,412.98,8.48,8.48,8.902e-12,0
3705,413.03,9.262,9.262,5.915e-12,0
3706,413.08,9.951,9.951,3.816e-12,0
3707,413.13,10.55,10.55,2.3910000000000002e-12,0
3708,413.18,11.06,11.06,1.4539999999999999e-12,0
3709,413.23,11.5,11.5,8.59e-13,0
3710,413.28,11.9,11.9,4.927e-13,0
3711,413.33,12.26,12.26,2.744e-13,0
3712,413.38,12.58,12.58,1.484e-13,0
3713,413.43,12.88,12.88,7.792000000000001e-14,0
3714,413.48,13.13,13.13,3.973e-14,0
3715,413.53,13.32,13.32,1.967e-14,0
3716,413.58,13.45,13.45,9.458e-15,0
3717,413.63,13.52,13.52,4.415e-15,0
3718,413.68,13.54,13.54,2.001e-15,0
3719,413.73,13.52,13.52,8.81e-16,0
3720,413.78,13.49,13.49,3.765e-16,0
3721,413.83,13.49,13.49,1.5630000000000002e-16,0
3722,413.88,13.53,13.53,6.297e-17,0
3723,413.93,13.61,13.61,2.464e-17,0
3724,413.98,13.74,13.74,9.362999999999999e-18,0
3725,414.03,13.88,13.88,3.4549999999999997e-18,0
3726,414.08,14.02,14.02,1.238e-18,0
3727,414.13,14.1,14.1,4.306e-19,0
3728,414.18,14.11,14.11,1.454e-19,0
3729,414.23,14.04,14.04,4.771e-20,0
3730,414.28,13.89,13.89,1.519e-20,0
3731,414.33,13.7,13.7,4.699e-21,0
3732,414.38,13.5,13.5,1.411e-21,0
3733,414.43,13.35,13.35,4.1150000000000004e-22,0
3734,414.48,13.3,13.3,1.1650000000000001e-22,0
3735,414.53,13.38,13.38,3.2030000000000003e-23,0
3736,414.58,13.62,13.62,8.552000000000001e-24,0
3737,414.63,13.98,13.98,2.2169999999999998e-24,0
