Wavelength,Sum,Cu I (8.6e-02),Cu II (9.1e-01)
256.48,3.601e-2,,3.601e-2
256.53,9.992e-2,,9.992e-2
256.58,2.571e-1,,2.571e-1
256.63,6.132e-1,,6.132e-1
256.68,1.356e+0,,1.356e+0
256.73,2.781e+0,,2.781e+0
256.78,5.289e+0,,5.289e+0
256.83,9.323e+0,,9.323e+0
256.88,1.524e+1,,1.524e+1
256.93,2.310e+1,,2.310e+1
256.98,3.246e+1,,3.246e+1
257.03,4.229e+1,,4.229e+1
257.08,5.108e+1,,5.108e+1
257.13,5.722e+1,,5.722e+1
257.18,5.942e+1,,5.942e+1
257.23,5.722e+1,,5.722e+1
257.28,5.108e+1,,5.108e+1
257.33,4.229e+1,,4.229e+1
257.38,3.246e+1,,3.246e+1
257.43,2.310e+1,,2.310e+1
257.48,1.524e+1,,1.524e+1
257.53,9.323e+0,,9.323e+0
257.58,5.289e+0,,5.289e+0
257.63,2.781e+0,,2.781e+0
257.68,1.356e+0,,1.356e+0
257.73,6.132e-1,,6.132e-1
257.78,2.571e-1,,2.571e-1
257.83,9.992e-2,,9.992e-2
257.88,3.601e-2,,3.601e-2
257.93,1.203e-2,,1.203e-2
257.98,3.736e-3,,3.736e-3
258.03,1.108e-3,,1.108e-3
258.08,4.481e-4,,4.481e-4
258.13,7.363e-4,,7.363e-4
258.18,2.543e-3,,2.543e-3
258.23,8.904e-3,,8.904e-3
258.28,2.910e-2,,2.910e-2
258.33,8.831e-2,,8.831e-2
258.38,2.488e-1,,2.488e-1
258.43,6.505e-1,,6.505e-1
258.48,1.579e+0,,1.579e+0
258.53,3.556e+0,,3.556e+0
258.58,7.436e+0,,7.436e+0
258.63,1.443e+1,,1.443e+1
258.68,2.600e+1,,2.600e+1
258.73,4.347e+1,,4.347e+1
258.78,6.747e+1,,6.747e+1
258.83,9.720e+1,,9.720e+1
258.88,1.300e+2,,1.300e+2
258.93,1.613e+2,,1.613e+2
258.98,1.859e+2,,1.859e+2
259.03,1.987e+2,,1.987e+2
259.08,1.973e+2,,1.973e+2
259.13,1.818e+2,,1.818e+2
259.18,1.556e+2,,1.556e+2
259.23,1.240e+2,,1.240e+2
259.28,9.242e+1,,9.242e+1
259.33,6.582e+1,,6.582e+1
259.38,4.763e+1,,4.763e+1
259.43,4.028e+1,,4.028e+1
259.48,4.589e+1,,4.589e+1
259.53,6.691e+1,,6.691e+1
259.58,1.062e+2,,1.062e+2
259.63,1.664e+2,,1.664e+2
259.68,2.484e+2,,2.484e+2
259.73,3.497e+2,,3.497e+2
259.78,4.632e+2,,4.632e+2
259.83,5.770e+2,,5.770e+2
